"","Cycle","Stress","Interferon","Hypoxia","Oxphos","Metal","Mesenchymal","pEMT","Alveolar","Basal","Squamous","Glandular","Ciliated","AC","OPC"
"1","ACYP1","ABHD3","ACTN1","ADM","ATOX1","FKBP5","AQP1","ACTB","AGER","ALDH3A1","AKR1B10","AGR2","AC007906.2","AGT","ASCL1"
"2","ANLN","AC016629.8","APOL1","AHNAK","ATP5H","HEY1","BGN","ACTG1","CAPN8","ASPN","AQP3","AQP5","AGR3","ALDOC","MAP3K1"
"3","ANP32B","ADAMTS1","APOL2","ALDOA","C14orf2","HTRA1","CALD1","ADIRF","CAV1","ASS1","C10orf99","BCAT1","ARMC3","APOE","MMP2"
"4","ANP32E","ANKRD28","APOL3","ANGPTL4","COX14","MT1F","CCDC80","AKAP12","CAV2","ATP1B3","CA2","C15orf48","C1orf194","AQP4","OLIG1"
"5","APITD1","ANKRD37","APOL6","BLNK","MYEOV2","MT1G","COL1A1","AKR1C1","CLIC5","COL17A1","CALML3","CD47","C20orf85","BBOX1","OLIG2"
"6","APOBEC3B","ARC","B2M","BNIP3","NDUFA1","MT1H","COL1A2","ANXA1","CST6","COL18A1","CALML5","CEACAM5","C5orf49","CASQ1","SEZ6L"
"7","ARHGAP11A","AREG","BST2","BNIP3L","NDUFA12","MT1M","COL3A1","ANXA2","CYP4B1","CXCL14","CD14","CEACAM6","C9orf116","CPVL","SOX8"
"8","ARHGAP11B","ARID5B","C19orf66","C4orf3","NDUFA3","PMP2","COL5A2","ANXA3","EMP2","DCN","CDH1","CLDN10","C9orf24","CRYAB","WSCD1"
"9","ARL6IP1","ARL5B","C1R","CA9","NDUFB3","TPST1","COL6A1","ANXA5","FXYD3","DST","CLDN7","CLDN18","CALM1","CSRP1",
"10","ARL6IP6","ATF3","C1S","CASP14","NDUFS6",,"COL6A3","ARL4C","LMO7","FBXO32","CRABP2","CLU","CAPS","CYSTM1",
"11","ASF1B","B3GNT5","C3","DDIT4","NME1",,"CPE","ARPC1B","MYL12A","FTH1","DEFB1","CP","CAPSL","DKK3",
"12","ASPM","BAG3","C5orf56","DHRS3","PET100",,"FN1","BCAM","MYL9","GABRP","DMKN","CREB3L1","CCDC146","DOK5",
"13","ATAD2","BAMBI","CCL2","EGLN3","POLR2I",,"GJA1","BPGM","RARRES2","GPNMB","DSC1","CST2","CCDC170","EEPD1",
"14","ATAD5","BBC3","CCL27","ENO2","POLR2L",,"GNG11","C19orf33","SCEL","HOPX","DSC2","CST4","CETN2","EFEMP1",
"15","AURKA","BHLHE40","CCL5","EPAS1","RBX1",,"NPC2","CAPN2","TNNC1","ITGB4","DSG1","CTSS","CFAP126","EZR",
"16","AURKB","BIRC3","CD74","ERO1L","ROMO1",,"NRP2","CD151","TRAM1","JMJD1C","DSP","CYP3A5","CFAP157","GABRB1",
"17","BARD1","BRD2","CFB","FAM162A","SCAND1",,"SDC2","CD24",,"KRT14","FABP5","DHRS9","CFAP43","GATSL3",
"18","BCL2L12","BTG1","CFH","FUT11","SEPW1",,"SPARC","CD44",,"KRT15","FGFBP1","DMBT1","CSPP1","GFAP",
"19","BIRC5","BTG2","CMPK2","HILPDA","SLIRP",,,"CD59",,"KRT5","GJB2","FMOD","CTXN1","GRAMD3",
"20","BORA","C10orf10","CX3CL1","HK2","TIMM8B",,,"CD68",,"NAV2","GRHL3","GPX2","DNAAF1","ID3",
"21","BRCA1","C11orf96","CXCL10","IGFBP3","TXNDC17",,,"CD9",,"NDRG2","IGFL1","IGFBP5","DNAH12","ID4",
"22","BTG3","C16orf98","CXCL11","LDHA","UQCR10",,,"CD99",,"PDLIM1","IVL","IL1R2","DNALI1","LAMP5",
"23","BUB1","C1orf63","CXCL9","LINC01133","USMG5",,,"CDA",,"SFRP1","KLC3","KIAA1324","DYNLL1","LCAT",
"24","BUB1B","C5orf45","DDX58","MGP","UXT",,,"CDKN2A",,"SLITRK6","KLK10","KRT23","EFHC1","LPL",
"25","C12orf75","C8orf4","DDX60","NDRG1",,,,"CFL1",,"THBS2","KLK11","LCN2","FAM183A","MLC1",
"26","C19orf48","CA12","DDX60L","NDUFA4L2",,,,"CHI3L1",,"TP53AIP1","KRT1","LGALS4","FAM229B","MT1X",
"27","C21orf58","CCL20","DYNLT1","NRN1",,,,"CLIC1",,"TPT1","KRT10","LTF","FOXJ1","NTRK2",
"28","CALM2","CCNL1","EIF2AK2","P4HA1",,,,"COTL1",,"TXNIP","KRT16","LYZ","LRRC23","OLFM2",
"29","CALM3","CCP110","EPSTI1","PDK1",,,,"CRIP1",,"UBA52","KRT2","MAL2","LRRIQ1","PLTP",
"30","CARHSP1","CD55","ETV7","PFKFB3",,,,"CSTB",,"UQCRH","KRT6A","MIA","MORN2","PMP22",
"31","CASC5","CDKN1A","FXYD5","PFKP",,,,"CTGF",,"VCAN","KRT6B","MMP7","MS4A8","PRLHR",
"32","CCDC34","CDKN2AIP","GBP1","PGF",,,,"CTSB",,"VTCN1","KRT6C","MUC1","PIFO","SPARCL1",
"33","CCNA2","CEBPB","GBP2","PGK1",,,,"DKK1",,"ZFAND5","KRTDAP","MUC16","PPIL6","SPOCK1",
"34","CCNB1","CEBPD","GBP3","PLIN2",,,,"ECM1",,,"LGALS7B","MUC5AC","PSENEN","TBC1D10A",
"35","CCNB2","CITED2","GBP4","PLOD2",,,,"EIF4EBP1",,,"LY6D","MUC5B","ROPN1L","VAMP5",
"36","CCNE1","CLDN3","GBP5","PTHLH",,,,"EIF5A",,,"LYPD3","NAPSA","RSPH1",,
